id,name
15868,Uli Edel
76100,Ben Stassen
2042,Stephen Hopkins
65314,Giuseppe Tornatore
72197,Ferzan Ozpetek
586066,Doug Block
78160,Luca Guadagnino
11558,Eugène Lourié
62556,Fred Walton
71042,Jay Levey
53177,Brian Robbins
60438,Michael Landon Jr.
58912,Matthew Hastings
77273,Siddiq Barmak
94471,Jon Gunn
5306,Lasse Hallström
65317,Jake Scott
146275,Joseph Graham
1343876,Sai Varadan
51445,Eric Valette
5501,Gary Fleder
89216,Robert D. Webb
40385,Marcia Bennett
59649,Michael Pressman
155945,Jack Heller
57962,Mort Nathan
129894,Gareth Edwards
65855,Ralph Zondag
48980,David McNally
57082,John Stockwell
7396,Peter Farrelly
44056,Fred Dekker
97591,Joel Anderson
77921,Hideaki Anno
3974,Miloš Forman
66856,Guillaume Ivernel
7623,Sam Raimi
518,Danny DeVito
1255,David Mamet
94918,Daniel Barber
105643,Jay Oliva
231521,Eric Styles
57328,Barry W. Blaustein
997560,Brett Winn
122582,Jake Paltrow
19800,Richard Marquand
43439,Scott Ziehl
15602,Fernando León de Aranoa
56195,Ole Christian Madsen
40863,Joe Swanberg
53333,John Hillcoat
53304,Peter Lord
86270,Joseph Kosinski
968303,Javier Abad
17278,Nick Gomez
23213,Harold Becker
76812,Raymond Yip Wai-Man
3905,William H. Macy
93916,Regardt van den Bergh
146883,Paul Fierlinger
88970,Ralph Ziman
5149,Bonnie Hunt
87537,Yoon Je-kyoon
83198,Allan Arkush
196769,Jonathan Wacks
66654,Kevin Donovan
109857,Thor Freudenthal
11426,Ben Sharpsteen
68281,Justin Kerrigan
19069,Claude Chabrol
54584,Jesse Dylan
3290,Peter Hedges
19303,Kevin Smith
17386,Laurent Cantet
26875,Hideo Nakata
2034,Danny Boyle
56205,Atom Egoyan
57832,Daniel Lee
73833,Bo Zenga
101542,Ti West
956,Guy Ritchie
17279,E. Elias Merhige
1044257,James Swirsky
57130,Todd Phillips
9248,Nora Ephron
21183,Nicolas Winding Refn
641437,Alex Smith
20412,Michael Anderson
70890,Adam Green
16938,Renny Harlin
2778,Dennis Hopper
42274,Nick Hurran
30458,Henry Bean
126597,Stéphane Aubier
51795,Tom Elkins
9778,Ice Cube
9048,Clark Gregg
62854,Akiva Schaffer
3317,Takeshi Kitano
150,RZA
58498,Dominic Sena
64856,Michael Jai White
142312,Jennifer Yuh Nelson
432629,Shintaro Shimosawa
60099,Gideon Raff
8844,Lawrence Kasdan
2880,Emilio Estevez
62514,Tommy O'Haver
229931,Asghar Farhadi
2836,Kimberly Peirce
119417,Gavin Wiesen
554900,Clark Baker
86037,Jeff Crook
64227,Brandon Trost
61372,Tony Leech
64901,Gordon Chan
64883,Kang Je-gyu
1196522,Jeffrey St. Jules
65530,Mike Gabriel
120245,Daniel Stamm
185,Katsuhiro Ōtomo
102627,Steve Carver
1085904,Ramaa Mosley
82511,Will Gluck
77775,Marianna Palka
115892,Jehane Noujaim
93022,Sol Tryon
48498,Mickey Liddell
16513,John G. Avildsen
44916,Stanley Tong
138781,Robert Eggers
1103,Bill Duke
101399,Claudia Llosa
64149,Peter Hastings
74907,Fabián Bielinsky
13927,Kurt Wimmer
3776,Jean-Luc Godard
70573,Paul Hunter
57030,Gregor Jordan
122842,Rich Christiano
35785,Siddharth Anand
1562428,James O'Brien
52842,Garth Jennings
1352997,Kabir Sadanand
17042,Greg Harrison
8023,Kyle Balda
90,Isabel Coixet
133293,Paul Bolger
16294,Jonathan Demme
109745,Lee Toland Krieger
85242,Kevin Jordan
60923,Will Speck
6767,Larry Charles
39996,Sidney Lumet
62541,Brandon Camp
52894,Laurence Dunmore
1263945,Damir Catic
1365766,Barrett Esposito
70415,Tony Maylam
74062,Marcos Siega
56578,Jeff Tremaine
15557,Bill Condon
68215,Reginald Hudlin
56739,Peter Chan
42092,Benedikt Erlingsson
8574,Walter Salles
1467662,Charlie Levi
942084,Mark Illsley
53599,Andrew Morahan
1617,James Schamus
80540,Stig Bergqvist
55587,Peter Stebbings
131521,Spencer Susser
65310,Kenny Ortega
293911,Scott Waugh
36423,Tom Green
44740,Richard Shepard
58040,Bruce Malmuth
18533,Errol Morris
33349,Derick Martini
66203,Moustapha Akkad
86437,John Eng
1499089,Tom Sanchez
33341,Rick Rosenthal
1236679,Jonathan M. Goldstein
7348,Carlos Carrera
5125,Fatih Akin
52941,Rob McKittrick
71570,Justin Chadwick
19450,Bob Rafelson
19346,Niels Arden Oplev
564083,Tatiana von Furstenberg
4786,Richard Attenborough
54025,Karyn Kusama
66121,"George Tillman, Jr."
17167,Andy Tennant
87183,Mark Young
4065,Fred Zinnemann
31511,Grant Heslov
86295,Marc F. Adler
142272,Henry Joost
932248,Fede Alvarez
24173,Mike Binder
1046142,Benson Lee
64796,Tom Holland
72467,Thaddeus O'Sullivan
25210,Jeremy Leven
53068,Ryan Fleck
3451,Mel Stuart
31119,Sylvain White
124747,Pierre Coffin
28239,David Twohy
1041549,Justin Thomas Ostensen
56453,John Bonito
66039,Damon Santostefano
1519326,Justin Paul Miller
120246,Huck Botko
56735,David Moreau
123991,Steven Greenstreet
16391,Julie Taymor
61970,Ben Gluck
56154,Antony Hoffman
1004172,Mora Stephens
17764,Charles S. Dutton
84962,Stiles White
968998,Jeta Amata
25527,Jason Connery
1111709,Tom Putnam
129952,Sean McNamara
37618,Andrew Dominik
33254,Jim Gillespie
35318,Ken Annakin
67795,Steven Shainberg
2087,Richard Fleischer
716,Emile Ardolino
1330498,Rania Attieh
23964,Gary Ross
42952,Michael Burke
83467,William A. Graham
1302082,David F. Sandberg
76595,Byron Howard
69593,Michael J. Bassett
1375066,Stuart Ortiz
20193,Mark Neveldine
92834,Randall Rubin
129715,Agnieszka Wojtowicz-Vosloo
550681,Nick Tomnay
65242,Jack Perez
78488,Cathy Malkasian
228311,Keith Parmer
938682,Patrik Forsberg
18596,Taylor Hackford
18356,Stephen Herek
89467,Bob Giraldi
204325,Jay Alaimo
84369,Eugene Jarecki
123912,Christophe Ali
54507,Jon M. Chu
46076,Tom Dey
